Lead ID,First Name,Last Name,Email,Phone,Location,Group Name,Group URL,Member Count,Category,Engagement Score,Lead Score,Interests,Last Active,Extracted Date
lead_1755462319550_0,"Leah","Cohen",leah.cohen@aol.com,+1-754-405-5627,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",59,21,"Restaurants; Cooking",2024-04-10T21:32:05.643Z,2025-08-17T20:25:19.550Z
lead_1755462319550_1,"Ruth","Schwartz",ruth.schwartz@yahoo.com,+1-305-474-4893,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",45,99,"Food Reviews",2024-10-31T14:55:07.712Z,2025-08-17T20:25:19.550Z
lead_1755462319550_2,"Leah","Klein",leah.klein@yahoo.com,+1-305-715-6972,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",18,44,"Jewish Cuisine",2025-02-15T12:37:29.285Z,2025-08-17T20:25:19.550Z
lead_1755462319550_3,"Rebecca","Rosenberg",rebecca.rosenberg@yahoo.com,+1-850-440-6733,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",33,71,"Kosher Food; Cooking; Jewish Cuisine",2024-04-15T03:10:56.487Z,2025-08-17T20:25:19.550Z
lead_1755462319551_4,"Sarah","Weinstein",sarah.weinstein@aol.com,+1-863-420-1483,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",62,62,"Cooking; Kosher Food",2025-07-07T19:27:33.184Z,2025-08-17T20:25:19.551Z
lead_1755462319551_5,"Rebecca","Davis",rebecca.davis@hotmail.com,+1-786-799-4464,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",57,34,"Cooking; Restaurants",2025-07-01T23:31:07.890Z,2025-08-17T20:25:19.551Z
lead_1755462319551_6,"Ruth","Davis",ruth.davis@aol.com,+1-954-438-6648,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",8,1,"Jewish Cuisine",2024-06-26T05:21:09.479Z,2025-08-17T20:25:19.551Z
lead_1755462319551_7,"Rachel","Gordon",rachel.gordon@hotmail.com,+1-863-585-2407,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",100,55,"Jewish Cuisine; Kosher Food; Cooking",2024-05-21T14:27:36.181Z,2025-08-17T20:25:19.551Z
lead_1755462319551_8,"Miriam","Greenberg",miriam.greenberg@outlook.com,+1-754-578-9914,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",3,88,"Cooking; Restaurants",2025-05-05T05:49:54.435Z,2025-08-17T20:25:19.551Z
lead_1755462319551_9,"Samuel","Silver",samuel.silver@hotmail.com,+1-239-471-8130,"Global","great kosher restaurants foodies",https://www.facebook.com/groups/320656708120313,118000,"Food & Dining",20,22,"Jewish Cuisine; Kosher Food",2025-03-16T11:25:50.864Z,2025-08-17T20:25:19.551Z
